reviewer_name,reviewer_rating,review_title,review_text,place_of_review,date_of_review,upvotes,downvotes
Flipkart Customer,5,Mind-blowing purchase,GoodREAD MORE,"Certified Buyer, Nirmal District","Sep, 2021",2,2
bithika  datta,3,Just okay,"Not soo good quality,but ok in priceREAD MORE","Certified Buyer, Chandpur North Twenty Four Parganas District","Jul, 2020",23,23
Vaishali Karande,5,Mind-blowing purchase,Best product and best serviceREAD MORE,"Certified Buyer, Satara District","Feb, 2022",13,13
Flipkart Customer,,Very poor,"Handle is loose, screws doesnt fit in the holes.READ MORE","Certified Buyer, Ranga Reddy","Oct, 2021",8,8
Flipkart Customer,5,Just wow!,Very niceREAD MORE,"Certified Buyer, Nashik","May, 2021",8,8
Flipkart Customer,5,Terrific purchase,"Very nice product , quality satisfied, easy to use.READ MORE","Certified Buyer, Ranchi","Sep, 2020",4,4
Pankaj  Dubey ,,Absolute rubbish!,This tawa is not working on induction ..Plz Don't buy ...READ MORE,"Certified Buyer, Jaunpur District","Jan, 2022",6,6
Salma Sultana,4,Delightful,It's really goodREAD MORE,"Certified Buyer, Uttar Dinajpur District","Sep, 2020",2,2
Priyanka Gupta,5,Mind-blowing purchase,Nice product.... Love it🥰🥰READ MORE,"Certified Buyer, Bhopal","Apr, 2022",10,10
Sathish Kumar,4,Really Nice,Ok not bad 👍👍👍READ MORE,"Certified Buyer, Kangayam","Jun, 2021",7,7
Tarashankar Paliwal,5,Must buy!,Very nice tawa build quality goodREAD MORE,"Certified Buyer, Jaipur","Nov, 2020",14,14
Pallavi Jadhal,4,Worth the money,GoodREAD MORE,"Certified Buyer, Amravati District","Jun, 2021",11,11
Flipkart Customer,5,Best in the market!,Good quality.READ MORE,"Certified Buyer, Kolkata","Jul, 2021",5,5
Flipkart Customer,5,Perfect product!,Good quality 👍💪💪READ MORE,"Certified Buyer, Margherita","Nov, 2020",3,3
Ram Pathak,5,Mind-blowing purchase,SuperbREAD MORE,"Certified Buyer, Raipur","Jun, 2021",11,11
Ankit Choudhary,5,Must buy!,"I liked this product very much. It is strong hence a little heavy. Size is big, which I required. Perfect for dosa, omelette. Didn't use it on induction, but it seems it will easily work on that too. Just loved the product.READ MORE","Certified Buyer, Begusarai District","Oct, 2021",18,18
Flipkart Customer,5,Wonderful,Cook well 😋READ MORE,"Certified Buyer, New Delhi","Aug, 2022",3,3
vishvam pandya,5,Must buy!,Nice you can buyREAD MORE,"Certified Buyer, Bhavnagar District","Aug, 2022",3,3
V.S. Chauhan,5,Terrific purchase,Good product in this price thanks to Delivery boy and Flipkart alsoREAD MORE,"Certified Buyer, Kheri District","Jun, 2022",2,2
Naman Kumar,5,Must buy!,very nice product..READ MORE,"Certified Buyer, Jamui District","Jan, 2022",2,2
Flipkart Customer,5,Mind-blowing purchase,Best super in the marketREAD MORE,"Certified Buyer, Mandi Dabwali","Dec, 2021",2,2
Dinesh Priya,5,Highly recommended,SuperREAD MORE,"Certified Buyer, Thanjavur District","Nov, 2021",2,2
Flipkart Customer,5,Worth every penny,In this price superREAD MORE,"Certified Buyer, Vijayawada","Aug, 2021",3,3
Flipkart Customer,5,Worth every penny,"Excellent Experience , I Really Liked The Product It Is Lightweight. And According To The Price It Has Value for Money.......READ MORE","Certified Buyer, Lucknow","Jun, 2021",2,2
Gaddam bhargavi,,Waste of money!,"It is waste product,I took this to make dosa the back coat is coming out,then tried toast bread,in I the I saw same black coat is coming with bread also,waste of money,I excepted so much,but it not reached my expectionsREAD MORE","Certified Buyer, Hyderabad","Jul, 2022",5,5
Piu  Sharma ,,Slightly disappointed,Color is removed within 1 useREAD MORE,"Certified Buyer, New Delhi","May, 2022",4,4
Flipkart Customer,5,Terrific,Value of moneyREAD MORE,"Certified Buyer, Tiruchirappalli","Apr, 2022",4,4
Flipkart Customer,5,Great product,Love nan stik tawa very niceREAD MORE,"Certified Buyer, Mirzapur District","Dec, 2021",5,5
Aabha Singh,5,Just wow!,Nice product.READ MORE,"Certified Buyer, Fatehpur District","May, 2021",5,5
Priyanka Bharti,4,Delightful,Nice dosa tava but I am very disappointed from coating in back side is gone when making dosa and it is not ISI certified 😐READ MORE,"Certified Buyer, Malihabad","May, 2021",8,8
Pooja  Jha,5,Terrific,NiceREAD MORE,"Certified Buyer, Darbhanga","May, 2021",5,5
Jeni B,5,Best in the market!,Really nice .good product. Looking greatREAD MORE,"Certified Buyer, Kanakkampalayam","Dec, 2021",5,5
JAYALAKSHMI Perumal,5,Brilliant,Nice product value for moneyREAD MORE,"Certified Buyer, Coimbatore","Jun, 2021",5,5
Sonali D,,Horrible,Very poor quality..don't buyREAD MORE,"Certified Buyer, Pune","Aug, 2020",6,6
Shiv  Naresh,5,Terrific,awesome tawa at 250 price rangeREAD MORE,"Certified Buyer, Bah","Nov, 2020",2,2
Diksha negi,4,Very Good,It's nice product ❤️READ MORE,"Certified Buyer, Rishikesh","Jul, 2022",4,4
Sili  Sahu,4,Pretty good,Very nice 👌 product.Thank you flipkart.READ MORE,"Certified Buyer, Ganjam District","May, 2022",3,3
Yasar Arabath,4,Very Good,Low price best qualityREAD MORE,"Certified Buyer, Erode","Jan, 2022",4,4
